Job_Title,Total_monetary_compensation
"Interactive Communications Strategist",70997
"Judicial Attorney",99497
"Lead Customer Support/Success Manager",103497
"Machinery design engineer",80000
"Manager, Teacher Leadership Development",73097
Musician,108994
"Organizational Development Specialist 4",98000
"Pre-Health Advisor",65997
"Quality and Manufacturing Engineering Manager",113097
"Haz Mat Coordinator",67200
"Process Consultant",73000
"Regulatory Affairs Specialist",291847
"Health Coach Lead",52997
"Rooms Controller",27000
"Senior Chemist",167358
"Senior Compliance Analyst",172000
"Senior Lead Accountant ",84000
"Senior lead auditor",80500
"Senior Manager - Support",120000
"Senior Manager, Content Marketing",124000
"Senior Marketing Consultant",70600
"Clinical manager ",80497
"Sr. SEO Strategist",88397
"Subcontracts Administrator II",77250
"Mental Health Peer Support Worker",50169
"Technical Assistant",98294
"Public Library Branch Manager",181994
"Senior Administrative Officer",74497
"Restaurant Shift Lead",33400
"IT Systems Engineer Associate",80000
"Software Engineering Team Lead",215994
"Grant Accountant II",63497
"Associate Director, Marketing",425997
"Actuarial associate ",108500
"Assistant director of finance ",66497
"Research Associate ",280988
"Service Coordinator ",86117
"Sr. Financial Analyst",507994
"QC Chemist",79200
"Elementary School Music Teacher",58497
"Sr. Associate - Quality Assurance",82500
"Legal Secretary/Paralegal",103658
"RnD Manager",85617
"Graphic Artist",247031
"Local Study Manager",150000
"Sales and Outreach Manager",68497
"Assistant Director of Special Events",89497
"Assistant Research Professor",113000
"Associate Director, Donor Engagement ",113497
"Monographs and Media Cataloger",73497
"Digital Preservation Specialist",103603
"Academic Advisor II",53497
"Academic Advisor IV",65497
"Regional HR Manager",185000
"Sr. Administrative Coordinator I",75497
"Instructional Professor",115497
"Manager, IT",145497
"Energy Rater",67497
"Assiatant Professor",64000
"Office Coordinator",297774
"Architectural Technologist",216266
"Audit and Articulation Officer",75497
"Medical laboratory scientist ",226329
"Assistant Professor/Director of Cataloging and Metadata Services",77497
"Principal Recruiter",261360
"Database Specialist",124754
"Editorial Lead",179657
"Application Systems Analyst",83997
"Instruction Librarian",117994
"Process Developer",86500
"Production assistant",234888
"Solutions Engineer ",142497
SRE,288497
"Teacher of the Visually impaired",73497
"Technical Writer Lead",106497
"Housing Programs Specialist",50100
"IT technician ",73497
"Resource Coordinator ",73497
"Clinical Applications Coordinator",83497
"Supplier Quality Engineer",214897
"Senior Instructor ",68497
"Surgical coordinator ",55206
"Advocacy and Grassroot Specialist",72897
"Assistant to Property Managers",44997
"Assistant Professor",10635393
"Career Law Clerk",133097
"Claims Specialist II, Medical",71500
"Conferences Event Manager",69800
"Indigenous Consultation and Engagement Administrator ",74000
"Creative Strategist",89000
"Customer Representative",71497
"Deputy Communications Director",103497
"Dev Ops Manager",158497
"Diesel mechanic",64400
"Employer Relations Manager",66497
"Data Services Associate ",39500
"IT Systems Engineer ",81650
"Lead Instructional Desinger",106497
"Patient care coordinator",216882
"College Professor",83000
"Manager, Natural Climate Solutions Development",92400
"Network Security Engineer",128497
"Director of Site Operations and Student Affairs",54000
"Paralegal Specialist",132500
"Policy Director",148994
"Professor of Law",172000
"Health Educator III",51497
"Senior Consultant ",633497
"Senior Attorney",519291
"Senior Grants and Contracts Administrator",61567
"Senior Marketing Associate",117197
"Speech-Language Pathologist",675976
"Sr. Accountant",165497
"Medical laboratory technician",55097
"Supervisor - Financial and Business Services",133745
"Technical Recruiter ",83000
"Scheduling Specialist",48397
"Web Content Administrator",96497
"Client Services Representative",96114
"Auditor III",80500
"Technical Information Specialist",73497
"Wellness coordinator",57097
"Sales Coordinator",331431
"Product Developer",167997
"IT Recruiter",95000
"Sr. Analytical Chemist",106000
Audiologist/President,95000
"Sr. Professional Staff I",148497
"VP HR Consulting",133497
"Behavioral Health Manager",102000
"General Manager ",364994
"Staff Pharmacist ",146020
"Senior Program Officer",139497
"Standards Analyst ",138497
"Credentialing Specialist",124777
"Digital Delivery Manager",153089
"Archives Technician",50497
"Art Restoration Technician",46497
"Senior Service Technician",57000
"6th and 7th Grade Math Teacher",51497
"Supervisory Archivist",237497
"Analytic Science Specialist",105000
"ASL Interpreter and Transcriber",75497
"Assistant Director of Advancement Services",63797
"Audience Development Manager",89497
Banker,289877
"Assistant VP/Claims Manager",114000
"Benefits Consultant ",103497
Brewmaster,62600
"Bus Driver",31497
"Commercial Portfolio Manager",208500
"Senior Leasing Representative",205000
"Communications Strategist",455997
"Category Lead",103500
"Compensation Manager",300494
"Confidential Human Resource Coordinator ",55000
"Coordinator of undergraduate research and information literacy",65997
"Customer Marketing Manager",283497
"Associate Program Manager",196897
"Database Associate",54497
"Digital Accessibility Coordinator",73497
"Director of Individual Giving",54500
"Education Outreach Manager",53497
"Educational Curriculum Coordinator",92497
"E-Learning Specialist",247194
"Employee Development and Training Coordinator",91000
"Engoneering Technician",43355
"Head Athletic Trainer",63247
"Clinical Informatics",135497
"Teaching Instructor of First Year Writing",69000
"Executive Legal Secretary ",73497
"Financial Aid Administrator",51497
Food,101049
"HSE Manager",95997
"Infrastructure Specialist",69520
"Event Director",156497
"IT Supervisor",183397
"Landscape Designer",125850
"Library Administrative Assistant",46497
"MSP Engineer II",68497
"Operations, Manager",62097
"Outreach Specialist",331343
"Account Representative - Editorial",75497
"Payroll Manager",786687
"Call Center Manager",89497
"Post Doctoral Research Associate ",66497
"CT Technologist",113000
"CRO Manager",250000
"Doctor - Resident",65497
"Recording secretary ",59197
"Department Supervisor",226257
"Supply chain director ",93000
"Reporting Solutions Analyst",81997
"Representative Payee Reviewer",74037
"Research Associate I",58497
"Study Operations Manager",128497
"Scrum Master",1035388
"Senior Assistant Attorney General",89497
"Data Consultant",145000
"Senior Counsel/ Assistant Vice President",97100
"Director of Strategic Initiatives",97497
"Senior Network Analyst",75497
"Sr. UX Strategist and Designer",128497
"Tuition Coordinator",58497
"Recruiting Assistant",77634
"Youth and adult program educator ",31600
"Division Assistant Administrator",109497
"Electronic Systems Product Specialist",113000
"Structural Engineer",737591
"Education Program Specialist",220328
"Risk Assessment Analyst",57177
"Legislative Analyst",261594
"Library Tech",38497
"Planning and Programming Engineer",123497
"Public Information Officer and Community Engagement",88497
"Risk Modeler",362000
"Senior Manager, HR",241885
"Healthcare Data Analyst",80410
"Backend Elixir Engineer",133497
"Clinical Lead",86997
"Design Research Lead",83497
"Staff Development Coordinator",74497
"Customer Experience Coordinator ",55497
"Pastor/Catholic Priest",35900
"Customer Success Coordinator ",73497
"ETL Administrator ",122697
"Government Counsel",91497
"Logistics Coordinator ",63000
"Project Analyst or Data Manager",56337
"Shift Control Technician",170000
"Sr. Research associate ",88497
"Supply planning manager ",180000
"Translator/Interpreter ",63600
"RN Case Manager",396305
"Administrative Analyst II",250149
"Digital Productions Coordinator ",68597
"Director of Donor Relations",425491
"Assistant Director of the Social Work Department",90497
"IT Team Lead",290497
"Senior Land Technician ",128997
"Staff Training Coordinator ",64497
"Environmental Health Specialist",117000
"Sr. PHP Developer",119000
"Medical Librarian",234341
"General Warehouse associate II",54057
"Director of Editorial Content and strategy",165000
"Learning Management System Administrator",61000
"High school English Teacher ",101090
"Analyst Manager",71500
"Manager Product Support",108497
"Freelance Copywriter",133497
"Special Collections Librarian",79997
"Director, Analyst",145200
"Quality Assurance Support Specialist",63697
"Senior Engineering Director",180000
"Client Support Specialist",134094
"Manager of Communications",293994
"Claims Representative ",57177
"Active Treatment Coordinator",66000
"Associate Process Engineer",99193
"Quality Coordinator",81000
"Park Operations Supervisor",65987
"Environmental Investigator",134994
"Center Director",74697
"Junior Application Developer",50500
"Advertising Account Executive",34200
"Senior Systems Engineer",1066460
"Solution Consultant ",360000
"Prospect Research Analyst",176994
Adjuster,118000
"Business Development Director",221000
"Software Support",73497
"Product Design Engineer ",89417
"Chiropractic Assistant/Front Desk",22300
"Instructor, Community College",61000
"Seniors Software Developer",103497
"Financial specialist",129090
"Genetic Variant Analyst",83497
"Process Improvement Educator",67000
NP-PHC,111497
"Manager of Education",108097
"Regulatory Specialist",233126
"Practice Support Associate",75500
Conductor,103497
"Lead Purchasing Agent",40249
"Utility Billing Manager",65497
"Medical Interpreter",102754
"Water treatment operator",65497
"Centre Director",30500
"People Services Manager",55000
"Programmatic Media Manager",100000
"Camera Hardware Engineer",215000
"Product Design",312500
"Senior Developer - Front End",128497
"Research Scientist III",667991
"Laboratory Technologist",88494
"Postal Supervisor",59257
"Head of Collections and Technical Services",82810
"QA Technologist",70000
"Claims Representative",220551
"Client Relations ",143375
"Virtual High School Teacher",59000
"Executive Pay Analyst",80000
"Native English Teacher",23717
"Accounts Payable ",54497
Admission,61497
"Advisory Manager",125000
"Aircraft Dispatcher",150000
"Veterinarian ",393491
"Assistant Vice President of Enrollment",108497
"Applications Developer",123400
"Associate Director, Corporate Insurance",165000
"Associate Director, Financial Aid",66240
"Associate Professor of Instruction",94697
"Auto Claims Adjuster",52000
CFO,872388
"Industrial Hygienist",538491
"Management Trainee",184960
"RN coordinator  ",90500
"Merchandise and Supply planner",78997
"Copy Editor and Writer",90727
"Core Services Engineer",111000
"Creative Director ",165000
"CTE Marketing Teacher",71997
"Customer Education",142000
"Customer Success",137500
"Cyber Security Consultant",137500
"Senior Programmer",428491
"Subs Payable Administrator",44000
"Director of Operations ",909118
"Director of Training",159597
"Digital Reproduction Specialist",51467
"Events Marketing Manager",165494
"Technology Support Specialist",70497
"High School Math Teacher",279891
"Shipping Coordinator ",142994
"Sales Manager",1558788
"Industrial Engineer",248650
"Information Architect",590994
"Instructional Design",98497
"IT Infrastructure Support",68497
"Accounts Payable Clerk",212871
"Lead Financial Analyst",142668
"Line Server",34497
"Managing Supervisor",96497
"Marketing Channel Manager",104000
"Medical office assistant",50997
"Marketing Project Coordinator",119494
"Customer Solutions Manager",105000
"North American Service Quality Manager",101920
Operations,415383
"Emergency Preparedness Coordinator",148486
