Overall_Experience,Job_Title,Total_compensation
"11 - 20 years","Senior Manager, Partner Relations",125000
"11 - 20 years","Senior Manager, Partnerships and Initiatives",96497
"11 - 20 years","Senior Manager, Planning ",133497
"11 - 20 years","Senior Manager, Strategy and Operations",160000
"11 - 20 years","Senior Manager, Tech Support",108000
"11 - 20 years","Senior Manager, UX and Design",123000
"11 - 20 years","Senior Managing Editor",267994
"11 - 20 years","Senior Managing Editor ",120000
"11 - 20 years","Senior Manufacturing Engineer",118500
"11 - 20 years","Senior Marketing Associate",53700
"11 - 20 years","Senior Marketing Content Editor",88497
"11 - 20 years","Senior Marketing Manager",1085091
"11 - 20 years","Senior Marketing Specialist",181491
"11 - 20 years","Senior Martech Analyst",120000
"11 - 20 years","Senior Material Coordinator ",138004
"11 - 20 years","Senior Materials Scientist",79000
"11 - 20 years","Senior Mechanical Engineer",540894
"11 - 20 years","Senior Media Specialist/Strategist",163497
"11 - 20 years","Senior Medical Copy Editor",102500
"11 - 20 years","Senior Membership Experience Manager",143497
"11 - 20 years","Senior Monitoring and Evaluation Advisor",103497
"11 - 20 years","Senior Motion Designer",127897
"11 - 20 years","Senior Multimedia Designer",84000
"11 - 20 years","Senior Network Engineer",64000
"11 - 20 years","Senior Network Operations Technician",68497
"11 - 20 years","Senior Office Manager",97497
"11 - 20 years","Senior Officer",141497
"11 - 20 years","Senior Operations Associate",131727
"11 - 20 years","Senior Operations Manager ",95000
"11 - 20 years","Senior Optical Engineer",100197
"11 - 20 years","Senior Paralegal",350997
"11 - 20 years","Senior Paralegal - Real Estate",145000
"11 - 20 years","Senior Pastor",56000
"11 - 20 years","Senior Payroll Specialist",77000
"11 - 20 years","Senior Penetration Tester",150000
"11 - 20 years","Senior People Advisor",55000
"11 - 20 years","Senior Pharmacy Technician",42000
"11 - 20 years","Senior Php Developer ",69320
"11 - 20 years","Senior Planner",318834
"11 - 20 years","Senior planner/ buyer ",95997
"11 - 20 years","Senior Planning Engineer",56500
"11 - 20 years","Senior Plans and Research Analyst",107497
"11 - 20 years","Senior Policy Adviser",133497
"11 - 20 years","Senior policy advisor",213994
"11 - 20 years","Senior Policy Analyst",735622
"11 - 20 years","Senior Policy Associate",129497
"11 - 20 years","Senior Policy Attorney",79497
"11 - 20 years","Senior Policy Officer",52500
"11 - 20 years","Senior Principal Engineer",168000
"11 - 20 years","Senior Principal Research Associate ",139000
"11 - 20 years","Senior Process Engineer",156000
"11 - 20 years","Senior Producer",514494
"11 - 20 years","Senior Product Analyst",103000
"11 - 20 years","Senior Product Designer",406897
"11 - 20 years","Senior Product Designer ",348574
"11 - 20 years","Senior Product Engineer",111500
"11 - 20 years","Senior Product Manager",1909958
"11 - 20 years","Senior Product Manager - Smart/IoT",150000
"11 - 20 years","Senior Product Marketing Manager ",178497
"11 - 20 years","Senior product owner",243497
"11 - 20 years","Senior Product Support Manager",217200
"11 - 20 years","senior production coordinator",71847
"11 - 20 years","Senior Production Coordinator ",95000
"11 - 20 years","Senior Production Editor",90497
"11 - 20 years","Senior Production Engineer",278000
"11 - 20 years","Senior Production Manager",75500
"11 - 20 years","Senior Production Technician",52500
"11 - 20 years","Senior Program Analyst",223779
"11 - 20 years","Senior Program Associate ",68497
"11 - 20 years","Senior Program Coordinator",80000
"11 - 20 years","Senior program director",114000
"11 - 20 years","Senior Program Manager",1112091
"11 - 20 years","Senior Program Specialist",155497
"11 - 20 years","Senior Programmer",319994
"11 - 20 years","Senior Project Accountant ",74150
"11 - 20 years","Senior Project Archaeologist",56500
"11 - 20 years","Senior Project Controls Accountant",74470
"11 - 20 years","Senior Project Controls Analyst",89000
"11 - 20 years","Senior project coordinator",89497
"11 - 20 years","Senior Project Coordinator ",76000
"11 - 20 years","Senior Project Engineer",274497
"11 - 20 years","Senior Project Engineer ",115000
"11 - 20 years","Senior Project Lead",102997
"11 - 20 years","Senior Project Manager",2736287
"11 - 20 years","Senior project manager ",525794
"11 - 20 years","Senior Project Officer",219994
"11 - 20 years","Senior Prospect Research Associate",62597
"11 - 20 years","Senior Publicist",61000
"11 - 20 years","Senior Publishing Editor",50600
"11 - 20 years","Senior Purchasing and Inventory Coordinator",43250
"11 - 20 years","Senior QA Engineer",99997
"11 - 20 years","Senior Quality Analyst",40800
"11 - 20 years","Senior Quality Assurance Analyst",225097
"11 - 20 years","Senior Quality Assurance Consultant",72800
"11 - 20 years","Senior Quality Assurance Representative ",92400
"11 - 20 years","Senior Quality Engineer ",120000
"11 - 20 years","Senior Quality Manager",141600
"11 - 20 years","Senior Quality Supervisor",65997
"11 - 20 years","Senior Radiographer",58277
"11 - 20 years","Senior Records Analyst",92344
"11 - 20 years","Senior Recruiter",212997
"11 - 20 years","Senior recruiter ",210000
"11 - 20 years","Senior Refrigeration Engineer",89441
"11 - 20 years","Senior Regional Director",109000
"11 - 20 years","Senior Regional Sales Manager",145000
"11 - 20 years","Senior Regulatory Specialist ",102497
"11 - 20 years","Senior Relationship Manager",161200
"11 - 20 years","Senior Relationship Manager ",191000
"11 - 20 years","Senior Reporter",49497
"11 - 20 years","Senior Reporting Analyst",79497
"11 - 20 years","Senior Research Administrator",95497
"11 - 20 years","Senior Research Advisor",143000
"11 - 20 years","Senior Research Analyst",311700
"11 - 20 years","senior research analyst ",131497
"11 - 20 years","Senior Research Area Specialist",98497
"11 - 20 years","senior research assistant ",82497
"11 - 20 years","Senior Research Associate ",116000
"11 - 20 years","Senior Research Associate II",198000
"11 - 20 years","Senior Research Coordinator",62997
"11 - 20 years","Senior Research Counsel",106497
"11 - 20 years","Senior Research Manager",83000
"11 - 20 years","Senior Research Officer",104897
"11 - 20 years","Senior Research Program Manager",110497
"11 - 20 years","Senior Research Scientist",431497
"11 - 20 years","Senior Research Specialist",68497
"11 - 20 years","Senior Researcher",451697
"11 - 20 years","Senior Researcher and Designer",88497
"11 - 20 years","Senior RFP Specialist",89600
"11 - 20 years","Senior Risk Analyst ",135600
"11 - 20 years","Senior Safety and Health Consultant ",110000
"11 - 20 years","Senior Sales Engineer",412000
"11 - 20 years","Senior Salesforce Administrator",128497
"11 - 20 years","Senior Science/Research ",136000
"11 - 20 years","Senior Scientist",909197
"11 - 20 years","Senior scientist ",143497
"11 - 20 years","Senior Scrum Master",78497
"11 - 20 years","Senior Security Engineer",133000
"11 - 20 years","Senior SEO Technician, Founder",90197
"11 - 20 years","Senior Site Reliability Engineer",296994
"11 - 20 years","Senior Sitecore software developer ",144900
"11 - 20 years","Senior Social Worker",80997
"11 - 20 years","Senior Software Analyst",184000
"11 - 20 years","Senior Software Applications Developer",113497
"11 - 20 years","Senior Software Architect",168497
"11 - 20 years","Senior Software Consultant",142497
"11 - 20 years","Senior Software Developer",1985939
"11 - 20 years","Senior Software Developer ",103497
"11 - 20 years","Senior Software Development Engineer",360000
"11 - 20 years","Senior Software Engineer",10304644
"11 - 20 years","Senior Software Engineer ",987351
"11 - 20 years","Senior Software Engineer, Backend",171497
"11 - 20 years","Senior Software Implementation Engineer",156500
"11 - 20 years","Senior Software Manager",148000
"11 - 20 years","Senior Solution Architect",166000
"11 - 20 years","Senior Solutions Architect",454000
"11 - 20 years","Senior specialist",176000
"11 - 20 years","Senior SRE",145000
"11 - 20 years","Senior Staff Attorney",105497
"11 - 20 years","Senior Staff Attorney ",78497
"11 - 20 years","Senior Staff Engineer",185000
"11 - 20 years","Senior Staff Writer",100000
"11 - 20 years","Senior statistical analytical programmwr",89000
"11 - 20 years","Senior Statistician",92039
"11 - 20 years","Senior Strategic Initiatives Manager",94000
"11 - 20 years","Senior Strategic Sourcing Manager",148000
"11 - 20 years","Senior Strategist",109000
"11 - 20 years","Senior Strategy Manager",83000
"11 - 20 years","Senior Structural Engineer",203994
"11 - 20 years","Senior Study Director ",135000
"11 - 20 years","Senior Success Engineer II",108000
"11 - 20 years","Senior Supervisor ",112200
"11 - 20 years","Senior Supply Chain Manager",171000
"11 - 20 years","Senior Support Engineer ",68497
"11 - 20 years","Senior Support Representative",41000
"11 - 20 years","Senior System Administrator",125497
"11 - 20 years","Senior System Administrator ",113497
"11 - 20 years","Senior System Analyst",75861
"11 - 20 years","Senior Systems Analyst",241244
"11 - 20 years","Senior Systems Engineer",447366
"11 - 20 years","Senior Systems Engineer II",241000
"11 - 20 years","Senior Systems Specialist",51497
"11 - 20 years","Senior Talent Acquisition Consultant",108000
"11 - 20 years","Senior Talent and Generalist",88000
"11 - 20 years","Senior Tax Accountant",79500
"11 - 20 years","Senior Tax Accountant ",82500
"11 - 20 years","Senior Tax Manager",127000
"11 - 20 years","Senior Team Lead",167000
"11 - 20 years","Senior Tech",27997
"11 - 20 years","Senior Tech Lead iOS ",155497
"11 - 20 years","Senior Tech Ops",78497
"11 - 20 years","Senior Technical Account Manager",152000
"11 - 20 years","Senior Technical Lead",97500
"11 - 20 years","Senior Technical Program Manager",238000
"11 - 20 years","Senior Technical Project Manager",131000
"11 - 20 years","Senior Technical Recruiter",108497
"11 - 20 years","Senior Technical Support Officer",58497
"11 - 20 years","Senior Technical Writer",752729
"11 - 20 years","Senior Technical Writer/Editor",103497
"11 - 20 years","Senior Technician",81451
"11 - 20 years","Senior Test Engineer",129497
"11 - 20 years","Senior therapist ",83497
"11 - 20 years","Senior Trade Policy Analyst",93497
"11 - 20 years","Senior Trade Policy Officer",130000
"11 - 20 years","Senior Training Specialist",72000
"11 - 20 years","Senior Treasury Accountant",85000
"11 - 20 years","Senior Trust Associate",106000
"11 - 20 years","Senior UI Engineer",49500
"11 - 20 years","Senior Underwriter",160225
"11 - 20 years","Senior Underwriter Management Liability",88000
"11 - 20 years","Senior underwriting associate",53597
"11 - 20 years","Senior User Experience (UX) Designer",167000
"11 - 20 years","Senior User Experience Designer",128497
"11 - 20 years","Senior User Experience Engineer",127000
"11 - 20 years","Senior user experience researcher",83500
"11 - 20 years","Senior UX Designer",848491
"11 - 20 years","Senior UX Designer ",321497
"11 - 20 years","Senior UX Engineer",62997
"11 - 20 years","Senior UX Researcher",139000
"11 - 20 years","Senior Vice President",532497
"11 - 20 years","Senior Vice President ",240000
"11 - 20 years","Senior Vice President, Human Resources",131497
"11 - 20 years","Senior Video Editor/Animator",86497
"11 - 20 years","Senior Web Application Developer",122497
"11 - 20 years","Senior Web Developer",63497
"11 - 20 years","Senior Web Engineer",94277
"11 - 20 years","Senior Writer",289491
"11 - 20 years","Senior Young Adult Librarian",78497
"11 - 20 years","Senior/Project Accountant ",93497
"11 - 20 years","Senor HR Manager",93497
"11 - 20 years","SEO Accont Lead",70997
"11 - 20 years","SEO Manager",155000
"11 - 20 years","Service Center Tech",50292
"11 - 20 years","Service Coordinator ",86117
"11 - 20 years","Service Core Director",171000
"11 - 20 years","Service delivery manager",67000
"11 - 20 years","Service Designer",143497
"11 - 20 years","Service Manager",269000
"11 - 20 years","Service Manager ",47997
"11 - 20 years","Service Sales Manager",220864
"11 - 20 years","Services and Systems designer",62497
"11 - 20 years","Services Manager",42497
"11 - 20 years","Sessional Instructor",58497
"11 - 20 years","Settlement Project Manager",84700
"11 - 20 years","Setup Mechanic",80000
"11 - 20 years","Sexual Assault Prevention Educator ",44497
"11 - 20 years",Shareholder,205000
"11 - 20 years","Shift Control Technician",170000
"11 - 20 years","Shift Coordinator/Registered Nurse",71817
"11 - 20 years","Shift Lead",36647
"11 - 20 years","Shift Supervisor",46777
"11 - 20 years","Shipping and Warehouse Operations Manager",115497
"11 - 20 years","Shipping Specialist",40466
"11 - 20 years","Shop Manager",52500
"11 - 20 years","Shopper Marketing Manager",69000
"11 - 20 years","Simulation test engineer",110497
"11 - 20 years","Site Manager",43497
"11 - 20 years","Site Reliability Engineer",797494
"11 - 20 years","Site Sourcing Leader",87497
"11 - 20 years","Site Support Analyst II",91197
"11 - 20 years","SOC Engineer",138497
"11 - 20 years","Social and Community Director",153000
"11 - 20 years","Social Media and Communications Assistant",32497
"11 - 20 years","Social Media and Community Manager",46098
"11 - 20 years","Social media and content executive",38497
"11 - 20 years","Social Media and Marketing Coordinator",56500
"11 - 20 years","Social Media Communications ",150000
"11 - 20 years","Social Media Coordinator",41500
"11 - 20 years","Social Media Director",275000
"11 - 20 years","Social Media Manager",611228
"11 - 20 years","Social Media Manager ",256497
"11 - 20 years","Social Media Strategist",65997
"11 - 20 years","Social Security benefits counselor ",96997
"11 - 20 years","Social Services Director",98497
"11 - 20 years","Social Studies Teacher",55450
"11 - 20 years","Social Worker",676979
"11 - 20 years","Social Worker ",91497
"11 - 20 years","Social Worker / Child Development Specialist",75497
"11 - 20 years","Social Worker II",80497
"11 - 20 years","Software Account Director ",220000
"11 - 20 years","Software Architect",656988
